,City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude
59,nishihara,64.62,72,75,3.44,26.1842
60,sao filipe,74.66,63,0,18.41,14.8961
61,jining,36.86,75,5,11.43,35.405
62,cozumel,78.73,74,40,8.05,20.5083
63,thompson,-9.4,70,20,5.75,55.7435
64,mataura,64.99,61,78,3.0,-46.1927
65,belmonte,83.17,79,75,6.91,-15.8631
66,lasa,52.86,57,46,2.3,46.6166
67,el tigre,80.91,63,87,12.86,8.8875
68,guerrero negro,65.5,31,0,1.36,27.9769
69,sao joao da barra,82.4,74,40,2.3,-21.6403
70,torata,69.6,34,15,7.83,-17.0769
71,ushuaia,48.2,57,90,4.61,-54.8
72,mount pleasant,56.32,44,1,11.5,32.7941
73,clyde river,-13.0,77,75,3.24,70.4692
74,petropavlovsk-kamchatskiy,26.6,74,75,4.47,53.0452
75,katsuura,42.66,39,75,21.85,35.1333
76,klaksvik,42.8,100,75,14.97,62.2266
77,esperance,68.0,60,0,13.8,-33.8667
78,hambantota,80.6,89,20,5.75,6.1241
79,kensington,63.05,94,75,17.27,-33.9167
80,hasaki,38.55,45,75,5.75,35.7333
81,puerto ayora,81.52,74,75,9.22,-0.7393
82,pangody,-23.62,86,93,7.49,65.85
83,eureka,45.21,97,64,1.01,40.8021
84,baiyin,45.46,24,0,15.66,36.5583
85,adwa,71.82,33,97,1.74,14.1646
86,saskylakh,-23.21,85,98,1.88,71.9167
87,faanui,81.86,70,94,8.03,-16.4833
88,skibbereen,51.8,100,75,24.16,51.55
89,norman wells,-18.4,76,75,2.66,65.282
90,kokoda,74.35,92,100,3.51,-8.8785
91,victoria,67.1,83,31,1.99,22.2855
92,georgetown,83.55,65,20,8.05,5.4112
93,miandrivazo,82.6,59,71,9.8,-19.5167
94,maumere,80.01,80,70,8.55,-8.6199
95,carnarvon,84.2,58,0,14.97,-24.8667
96,teguise,68.0,77,20,18.41,29.0605
97,inuvik,-13.88,77,100,3.44,68.3499
98,lagoa,53.62,60,34,31.18,39.05
99,portland,37.98,87,40,5.28,45.5234
100,alyangula,80.6,89,100,3.44,-13.8483
101,cayenne,82.4,83,75,10.36,4.9333
102,terra santa,88.66,54,62,5.37,-2.1042
103,tuktoyaktuk,-20.2,69,75,17.27,69.4541
104,zyryanka,-32.66,81,39,2.08,65.75
105,college,-22.36,87,40,1.74,64.8569
106,necochea,80.01,31,0,1.99,-38.5473
107,hobart,47.55,76,61,9.22,-42.8794
108,diego de almagro,78.08,31,3,9.31,-26.3667
109,omboue,82.42,77,76,9.44,-1.5746
110,avarua,75.2,94,75,2.3,-21.2078
111,cabra,62.44,42,0,4.61,37.4725
112,hamilton,45.46,57,1,13.8,39.1834
113,aklavik,-13.85,77,100,3.44,68.2191
114,lenoir city,52.88,46,0,8.86,35.7973
115,ciudad bolivar,89.13,46,70,11.1,8.1222
116,vagur,44.47,95,100,16.44,61.4732
117,nikolskoye,7.52,85,90,15.66,59.7035
118,peleduy,-0.67,91,100,4.61,59.6289
119,ambagarh chauki,72.46,17,0,2.13,20.7833
120,nueva helvecia,79.0,46,0,8.05,-34.3
121,the valley,81.95,61,20,20.71,18.217
122,isabela,78.8,89,75,2.3,6.7085
123,chuy,75.92,55,66,9.01,-33.6971
124,tazmalt,63.48,53,67,11.23,36.3868
125,rexburg,30.94,64,75,3.44,43.826
126,gawler,57.02,69,76,8.99,-34.6
127,cairns,76.5,94,58,3.4,-16.9167
128,atuona,78.53,78,31,13.2,-9.8
129,trincomalee,79.25,79,48,12.15,8.5711
130,hay river,-27.38,75,100,2.3,60.8156
131,camana,74.32,62,89,10.33,-16.6228
132,am timan,96.69,12,6,5.37,11.0297
133,coracora,62.19,44,95,5.1,-15.0333
134,san patricio,60.8,94,75,9.73,28.017
135,palauig,79.03,78,30,2.44,15.435
136,venado,56.89,51,32,1.5,22.9333
137,atar,92.26,10,0,7.23,20.5169
138,ambilobe,77.0,86,100,5.28,-13.2
139,bengkulu,78.93,79,100,0.6,-3.8004
140,ambon,78.8,83,40,4.61,-3.6954
141,severo-kurilsk,30.16,94,100,35.1,50.6789
142,syosset,40.5,70,1,6.91,40.8262
143,qaanaaq,6.82,78,100,4.45,77.484
144,uyuni,65.08,27,97,6.46,-20.4597
145,mao,59.0,88,40,11.5,39.8885
146,altay,18.43,77,56,5.08,47.8667
147,faya,65.3,63,40,5.75,18.3851
148,vaini,77.0,83,20,5.75,-21.2
149,cidreira,83.91,59,0,4.18,-30.1811
150,barmer,74.25,24,0,10.54,25.75
151,manadhoo,82.56,72,85,9.73,5.7667
152,sabang,81.32,71,79,9.86,5.8933
153,marrakesh,73.4,35,0,11.5,31.6315
154,winslow,28.4,54,1,10.36,35.0242
155,westport,39.42,70,20,11.5,41.1415
156,poum,81.59,78,100,17.6,-20.2333
157,bosaso,76.08,71,2,8.81,11.2842
158,durban,79.14,61,40,5.75,-29.8579
159,kawalu,73.42,85,100,1.68,-7.3817
160,port elizabeth,73.4,68,0,18.41,-33.918
161,ilongero,64.51,90,100,3.04,-4.6667
162,kaitangata,64.87,54,100,7.7,-46.2817
163,marsa matruh,60.8,59,40,5.75,31.3525
164,caravelas,86.11,57,8,10.09,-17.7125
165,lebu,61.52,61,0,22.62,-37.6167
166,nantucket,40.05,81,1,14.97,41.2835
167,teguldet,-17.28,89,45,2.1,57.3064
168,acarau,84.76,68,84,9.19,-2.8856
169,eskilstuna,41.0,87,40,6.91,59.3666
170,nabire,74.52,94,100,2.44,-3.3667
171,tasiilaq,32.0,69,75,11.5,65.6145
172,la ronge,6.8,85,63,1.14,55.1001
173,cherskiy,-31.85,92,62,4.54,68.75
174,pokrovskoye,10.99,56,0,11.01,47.4157
175,dikson,-7.74,92,100,5.66,73.5069
176,millinocket,33.8,75,90,6.91,45.6573
177,arman,-5.8,66,0,10.85,59.7
178,dongsheng,37.24,68,100,4.09,39.8161
179,kodiak,19.4,68,1,8.05,57.79
180,chapleau,33.8,80,90,9.22,47.8405
181,salalah,77.0,69,0,5.75,17.0151
182,dudinka,-26.63,86,96,5.3,69.4058
183,novo aripuana,84.11,77,59,6.67,-5.1206
184,longyearbyen,28.4,86,75,2.3,78.2186
185,bernay,60.4,67,0,8.01,49.1667
186,richards bay,76.66,89,94,8.23,-28.783
187,udachnyy,-39.91,79,11,1.1,66.4167
188,tabou,83.14,71,38,8.81,4.423
189,ternate,81.1,79,56,8.48,0.8
190,ponta do sol,66.22,68,40,16.11,32.6667
191,port lincoln,58.57,68,86,12.5,-34.7333
192,berlevag,10.2,79,75,23.02,70.8578
193,nueve de julio,87.01,20,0,3.0,-35.4444
194,malaya purga,-14.42,86,0,13.33,56.5567
195,kargil,15.64,84,74,6.87,34.5667
196,nanortalik,23.29,83,0,9.19,60.1432
197,longjiang,1.18,83,0,1.25,47.3303
198,porto walter,84.15,64,97,4.14,-8.2686
199,rawson,65.34,50,0,17.13,-43.3002
200,meulaboh,79.11,79,91,3.38,4.1363
201,dunedin,64.99,63,100,1.99,-45.8742
202,presidencia roque saenz pena,102.0,31,57,7.0,-26.7852
203,pacific grove,50.47,66,1,3.44,36.6177
204,essau,104.0,12,0,11.5,13.4839
205,coquimbo,64.4,72,40,11.5,-29.9533
206,emerald,79.45,54,15,12.66,-23.5333
207,lompoc,47.41,70,1,8.05,34.6391
208,qasigiannguit,19.4,45,40,16.11,68.8193
209,mount gambier,44.6,81,100,3.18,-37.8333
210,namibe,80.6,50,20,20.71,-15.1961
211,ocampo,61.48,31,60,3.24,21.65
212,montepuez,72.7,93,100,1.92,-13.1256
213,pangnirtung,5.0,78,75,9.22,66.1451
214,iqaluit,21.2,86,90,17.27,63.7506
215,arlit,85.17,10,0,6.76,18.7369
216,turayf,57.2,44,75,25.32,31.6725
217,sao bento do sul,92.7,66,0,6.91,-26.2503
218,ribeira grande,55.4,58,40,20.71,38.5167
219,gat,60.24,56,92,14.09,31.61
220,amapa,81.93,68,94,3.09,1.0
221,bambous virieux,79.84,74,20,9.22,-20.3428
222,kavieng,82.11,75,100,5.64,-2.5744
223,vylkove,39.09,87,0,11.83,45.4021
224,chala,62.13,95,94,2.57,-7.5833
225,vila do maio,80.6,44,0,25.32,15.1333
226,grimshaw,23.0,74,75,16.11,56.1834
227,jalu,64.69,33,0,10.07,29.0331
228,talara,82.4,57,0,17.27,-4.5772
229,hofn,39.2,75,90,25.32,64.2539
230,mmabatho,77.0,61,65,8.05,-25.85
231,santiago de cao,69.8,83,57,6.91,-7.9589
232,eravur,77.4,84,84,8.48,7.7733
233,upernavik,6.93,88,70,2.33,72.7868
234,tazovskiy,-20.56,88,100,6.4,67.4667
235,alta floresta,84.2,70,75,4.61,-9.8756
236,sobolevo,9.81,83,100,14.63,54.4299
237,los llanos de aridane,65.07,68,75,4.61,28.6585
238,ilulissat,19.4,45,40,16.11,69.2167
239,adrar,87.64,12,0,5.73,20.5022
240,xingyi,50.72,68,73,4.12,24.1877
241,tallahassee,59.34,44,1,9.22,30.4383
242,shenjiamen,49.86,80,62,11.68,29.9576
243,broome,30.79,93,90,12.66,42.2506
244,castro,82.8,47,0,5.01,-24.7911
245,krasnoselkup,-32.24,83,93,4.16,65.7
246,namatanai,80.11,81,100,3.58,-3.6667
247,torbay,33.22,64,90,11.5,47.6666
248,fairbanks,-22.32,75,1,4.61,64.8378
249,newport,52.72,81,66,1.01,51.5877
250,new norfolk,44.94,67,57,2.21,-42.7826
251,canton,72.34,68,75,2.24,23.1167
252,provideniya,-4.99,89,100,17.02,64.3833
253,khandyga,-26.18,84,95,1.99,62.6667
254,iquitos,80.6,78,75,4.61,-3.7481
255,cabo san lucas,66.52,55,1,2.55,22.8909
256,fortuna,47.98,100,90,8.05,40.5982
257,lavrentiya,-10.19,86,78,7.31,65.5833
258,pisco,73.65,68,0,6.91,-13.7
259,kavaratti,82.35,65,41,4.36,10.5669
260,evensk,-6.07,76,0,7.09,61.95
261,palafrugell,59.47,82,20,9.22,41.9174
262,sarangani,82.24,78,24,12.12,5.4033
263,bongandanga,83.48,56,100,8.41,1.5
264,athabasca,23.85,80,100,4.61,54.7169
265,talnakh,-29.45,81,67,4.12,69.4865
266,janauba,84.25,56,8,4.25,-15.8025
267,sri aman,75.11,94,86,1.81,1.2376
268,mahibadhoo,82.27,80,37,14.0,3.7833
269,takoradi,84.13,69,6,9.22,4.8845
270,kahului,65.07,77,1,15.35,20.8947
271,seoul,29.03,46,0,6.91,37.5683
272,grindavik,37.4,75,75,16.11,63.8424
273,olafsvik,36.12,83,71,30.96,64.8945
274,urucurituba,85.93,61,47,5.53,-2.6833
275,yunyang,46.99,49,56,12.93,33.4474
276,puerto salgar,84.29,72,96,1.3,5.463
277,bardiyah,58.51,62,0,11.1,31.7561
278,tual,83.03,75,100,7.23,-5.6667
279,waitati,64.99,65,100,5.99,-45.75
280,novikovo,-6.47,88,0,6.31,51.1537
281,luderitz,70.32,53,0,24.72,-26.6481
282,san cristobal,77.0,78,40,5.75,7.7669
283,dubbo,60.8,72,0,11.5,-32.25
284,markova,44.6,65,0,6.71,48.6758
285,arraial do cabo,85.75,70,20,13.8,-22.9661
286,santa helena de goias,86.04,59,0,1.5,-17.8136
287,airai,62.06,92,100,1.81,-8.9266
288,mandan,32.94,100,90,9.22,46.8267
289,nara,37.63,55,74,7.9,34.6851
290,tautira,78.4,83,75,3.44,-17.7333
291,banyo,89.62,14,0,4.34,6.75
292,cap malheureux,79.0,74,3,3.0,-19.9842
293,vila velha,81.52,83,40,6.91,-20.3297
294,antanifotsy,60.87,97,93,5.46,-19.65
295,dingle,76.93,89,100,4.63,10.9995
296,trenggalek,76.03,91,100,4.41,-8.05
297,port hedland,89.6,48,90,6.91,-20.3167
298,fort nelson,3.2,72,75,6.91,58.8053
299,coyah,91.4,52,0,11.5,9.75
300,mykolayivka,33.31,93,100,8.48,47.5414
301,sechura,79.25,55,96,6.08,-5.5569
302,urucara,88.16,57,32,5.28,-2.5364
303,amahai,79.05,82,95,5.03,-3.3333
304,panaba,80.71,66,27,10.31,21.2833
305,larap,75.96,92,57,4.09,14.299
306,zhezkazgan,18.19,91,100,19.35,47.8043
307,girne,62.6,23,0,4.61,35.3417
308,gucheng,44.28,38,26,4.09,35.9115
309,crucea,41.0,93,40,4.61,44.5333
310,avallon,68.0,47,0,5.01,47.4833
311,boke,102.02,21,0,7.18,10.9409
312,flinders,62.73,79,62,3.0,-34.5833
313,morondava,83.64,77,0,10.6,-20.2833
314,ca mau,73.04,82,15,6.02,9.1769
315,abu samrah,52.03,50,0,9.04,35.3029
316,mindelo,77.0,61,20,25.32,16.8901
317,parvatsar,72.66,20,0,6.67,26.8833
318,carutapera,85.77,64,65,8.3,-1.195
319,vilyuysk,-30.98,84,0,3.62,63.7553
320,pismo beach,53.85,66,1,6.69,35.1428
321,noyabrsk,-34.8,97,0,4.9,63.1994
322,tubuala,86.0,54,20,4.61,9.5167
323,husavik,30.2,93,75,9.22,66.0449
324,maniitsoq,19.45,85,100,11.56,65.4167
325,buala,79.66,80,100,6.15,-8.145
326,bien hoa,77.0,78,20,6.91,10.95
327,matagami,30.38,99,99,9.84,49.7502
328,hovd,23.92,73,37,7.0,48.0056
329,rio grande,83.07,54,20,17.27,-32.035
330,basavakalyan,76.42,19,0,9.73,17.8667
331,havre-saint-pierre,24.8,86,90,14.97,50.2334
332,mount isa,87.8,18,80,17.27,-20.7333
333,sola,78.8,94,90,17.63,-13.8833
334,kursumlija,63.12,39,0,10.36,43.1458
335,kudahuvadhoo,82.81,80,61,16.37,2.6708
336,aswan,66.45,26,0,12.91,24.0934
337,yaan,99.07,9,17,4.05,7.3833
338,port-gentil,86.0,79,40,12.66,-0.7193
339,khatanga,-28.37,85,92,5.08,71.9667
340,bereda,60.35,55,33,14.0,43.2686
341,bam,62.11,28,32,2.39,29.106
342,akdepe,25.79,80,90,16.11,42.0551
343,doha,71.4,53,0,12.66,25.2867
344,gusau,90.5,10,9,8.88,12.1628
345,price,28.4,69,1,1.19,39.5994
346,polunochnoye,-25.46,87,3,4.23,60.8697
347,wonthaggi,49.91,89,79,3.0,-38.6044
348,edinburg,51.35,82,40,31.07,55.9521
349,beloha,80.06,56,16,16.08,-25.1667
350,belyy yar,-2.2,84,100,4.47,53.6039
351,karoi,69.42,92,80,3.85,-16.8099
352,pecos,44.6,49,1,3.44,31.4229
353,madimba,78.85,79,100,4.88,-10.4
354,moose factory,33.8,93,90,9.22,51.2585
355,batemans bay,56.98,65,33,6.85,-35.7167
356,yangliuqing,30.2,80,90,8.95,39.1375
357,tura,66.33,29,0,1.1,25.5198
358,comitancillo,61.02,67,20,11.5,15.0833
359,kedrovyy,-11.2,84,0,2.1,56.1667
360,krasnopillya,0.43,89,77,9.66,50.7746
361,te anau,58.96,79,74,1.79,-45.4167
362,tabuk,72.63,89,88,1.63,17.4189
363,hashtrud,30.02,88,0,5.06,37.4779
364,pangkalanbuun,73.9,95,100,2.84,-2.6833
365,keti bandar,72.43,79,0,10.71,24.1447
366,montego bay,82.4,69,20,11.5,18.4712
367,russell,56.64,50,1,5.48,32.3502
368,lucapa,72.57,81,75,5.99,-8.4192
369,basmat,78.67,18,0,4.61,19.3167
370,khvorostyanka,-15.66,84,97,19.75,52.6096
371,tooele,38.73,81,40,12.01,40.5308
372,mironeasa,42.93,70,0,4.61,46.9667
373,turbat,66.96,78,0,1.68,26.0023
374,george town,83.55,65,20,8.05,5.4112
375,macamic,30.2,93,90,11.5,48.7502
376,whitehorse,-2.07,84,75,3.44,60.7161
377,katrineholm,40.28,81,85,8.05,58.9959
378,paamiut,19.94,48,35,10.49,61.994
379,awbari,69.31,22,0,17.6,26.5921
380,vila,59.0,73,97,1.99,42.0304
381,barentu,78.26,31,0,13.69,15.1139
382,san jose,51.33,71,75,3.6,37.3394
383,okakarara,80.46,52,76,11.1,-20.5833
384,cap-aux-meules,32.0,93,100,24.16,47.3821
385,sur,72.81,55,0,4.14,22.5667
386,manzil salim,57.2,41,40,20.71,35.8567
387,haines junction,-2.2,78,0,0.98,60.7522
388,ahipara,65.26,79,64,8.01,-35.1667
389,kamenka,-16.69,85,0,9.15,51.3223
390,harper,82.6,73,56,7.65,4.375
391,dasoguz,30.2,80,90,16.11,41.8363
392,souillac,80.6,74,20,9.22,-20.5167
393,vostok,-13.94,90,100,4.52,46.4856
394,dallas,61.75,34,1,12.66,32.7668
395,nanchong,61.84,73,13,4.99,30.7951
396,gorontalo,75.51,96,70,3.67,0.5412
397,beaverlodge,26.6,68,75,17.27,55.2166
398,soe,66.92,100,98,3.31,-9.8607
399,isnos,73.87,51,83,4.32,1.9356
400,valparaiso,64.24,63,0,9.22,-33.0393
401,liverpool,55.29,77,90,19.57,53.4106
402,garissa,92.91,29,93,9.37,-0.4536
403,paragominas,85.8,61,100,2.62,-2.9667
404,bijie,54.95,89,0,6.8,27.3125
405,santa isabel do rio negro,81.16,90,37,5.93,-0.4139
406,gunnedah,64.99,78,1,7.0,-30.9833
407,nome,-4.41,65,90,10.36,64.5011
408,gariaband,75.2,46,0,4.61,20.635
409,verkhnyaya inta,-20.16,87,63,4.92,65.9811
410,geraldton,75.2,43,0,6.91,-28.7667
411,mehran,44.6,39,0,2.3,33.1222
412,ostrovnoy,5.94,84,100,28.43,68.0531
413,saldanha,75.2,53,0,16.11,-33.0117
414,tuatapere,64.99,63,97,1.01,-46.1333
415,scarborough,53.62,76,100,11.99,54.2797
416,taoudenni,87.62,13,0,8.55,22.6783
417,tayshet,-5.28,91,100,3.53,55.9342
418,yar-sale,-10.03,97,100,9.28,66.8333
419,roma,33.42,80,90,5.75,43.2128
420,vila franca do campo,54.14,67,40,24.16,37.7167
421,itapirapua,86.25,67,27,2.68,-15.8233
422,prado,83.86,64,8,10.0,-17.3411
423,southbridge,39.85,64,92,1.99,42.0751
424,santa lucia,69.71,73,75,12.66,27.9117
425,constitucion,71.49,44,1,10.76,-35.3333
426,touros,89.6,55,40,16.11,-5.1989
427,sokoni,85.33,70,75,13.8,-6.4333
428,pemba,80.29,78,75,3.44,-12.974
429,shimoda,37.0,65,96,1.01,34.6667
430,san francisco,54.1,71,75,3.44,37.7749
431,sohna,72.21,60,0,3.44,28.25
432,nanzhang,53.87,60,87,3.96,31.7765
433,banjar,78.8,89,40,13.8,-8.19
434,leh,20.21,83,62,2.98,34.1667
435,betul,71.1,15,0,1.68,21.9153
436,torrington,37.71,76,94,4.0,41.8007
437,jardim,95.67,40,2,4.9,-21.4803
438,koppies,64.31,89,98,14.27,-27.2418
439,cockburn town,80.6,65,40,16.11,21.4612
440,saraipali,74.32,20,0,2.44,21.3333
441,manbij,50.0,40,0,3.44,36.5281
442,teya,-15.34,86,100,1.9,60.3778
443,basco,73.53,87,91,26.31,20.4487
444,anadyr,-22.0,76,0,11.18,64.75
445,igarka,-26.48,85,100,3.31,67.4667
446,kondinskoye,-27.83,85,12,9.57,59.6481
447,ketchikan,36.32,75,90,10.36,55.3422
448,san quintin,62.08,44,94,4.09,30.4833
449,nuuk,26.6,74,75,5.75,64.1835
450,luena,71.31,85,84,2.73,-11.7833
451,alice springs,69.8,35,0,3.44,-23.7
452,bilma,81.18,8,0,6.85,18.6853
453,huallanca,53.44,60,93,5.99,-9.8993
454,kologriv,-13.54,97,66,4.27,58.8275
455,akhtubinsk,-3.66,78,0,19.04,48.2795
456,newburgh,37.26,75,90,6.91,41.5034
457,tornio,8.6,85,90,8.05,65.8481
458,changde,61.0,21,41,5.01,29.0464
459,ipora,81.84,73,26,3.67,-16.4419
460,tahta,64.49,37,40,14.97,26.7693
461,jiwani,74.86,72,0,16.17,25.05
462,neiafu,77.0,94,75,2.3,-18.65
463,plettenberg bay,68.32,67,44,6.33,-34.0527
464,cabedelo,89.6,62,75,13.8,-6.9811
465,antofagasta,72.25,64,0,14.97,-23.65
466,kupang,79.05,82,84,7.09,-10.1667
467,gordeyevka,10.22,92,100,12.19,52.9569
468,novosheshminsk,-13.61,89,92,15.79,55.0651
469,codrington,55.89,74,84,4.83,-38.2667
470,linkou,-4.79,86,3,4.47,45.3
471,mahebourg,80.6,74,20,9.22,-20.4081
472,hammerfest,24.8,93,75,12.66,70.6634
473,boguchany,-12.82,87,89,3.15,58.3814
474,mosquera,60.8,59,75,6.91,4.7059
475,cacu,91.71,48,0,1.59,-18.5567
476,sambava,79.29,81,72,6.85,-14.2667
477,serpa,64.4,48,20,10.36,37.9458
478,plainview,40.6,65,1,9.22,40.7765
479,rumoi,22.01,96,100,10.76,43.9344
480,sault sainte marie,36.82,81,90,11.5,46.5168
481,antalaha,77.76,86,39,6.82,-14.9003
482,borgarnes,36.5,72,100,24.0,64.5383
483,nokaneng,79.59,69,74,4.92,-19.6667
484,inhambane,82.18,69,40,10.36,-23.865
485,asyut,62.6,51,0,17.27,27.181
486,margate,54.48,60,42,5.01,51.3813
487,praia,80.6,41,0,21.85,14.9215
488,kulachi,64.63,32,0,1.12,31.9286
489,rameswaram,79.63,81,2,18.39,9.2833
490,kogon,50.0,46,0,9.22,39.7228
491,bajil,80.6,65,60,5.01,15.0584
492,hami,45.66,50,100,4.54,42.8
493,khani,42.8,87,90,13.8,41.9563
494,snasa,33.8,93,40,13.8,64.2457
495,catuday,77.54,88,56,8.01,16.2923
496,tongren,61.75,80,50,3.18,27.7172
497,tianpeng,64.11,59,0,2.24,30.9866
498,vestmanna,44.6,93,75,12.66,62.1564
499,kieta,80.2,82,100,5.01,-6.2167
500,matara,77.41,86,92,0.49,5.9485
501,erzin,62.01,23,0,2.13,36.9559
502,los andes,84.0,44,48,1.99,-32.8337
503,paranhos,92.59,44,13,3.6,-23.8928
504,egvekinot,-16.1,87,2,6.49,66.3167
505,muros,55.54,86,100,28.01,42.7762
506,damietta,62.6,67,40,9.22,31.4165
507,amarante do maranhao,88.21,61,100,1.68,-5.5667
508,eregli,31.28,91,0,1.19,37.5133
509,soyo,89.6,58,20,6.91,-6.1349
510,kibre mengist,69.91,33,100,3.91,5.8833
511,sulina,39.69,85,0,12.06,45.1559
512,caramay,76.89,87,100,5.06,10.1815
513,kyren,5.16,95,98,0.96,51.6828
514,nizhnevartovsk,-32.8,75,0,4.68,60.9344
515,yumen,34.48,46,51,10.98,40.2833
516,ayan,-8.61,73,100,13.22,56.45
517,ust-omchug,-21.42,74,72,4.88,61.15
518,kombissiri,95.0,8,0,9.22,12.0656
519,tenenkou,96.46,8,0,11.65,14.4572
520,sao gabriel da cachoeira,84.2,79,40,5.75,-0.1303
521,dandong,21.6,69,14,7.02,40.1292
522,rapid city,42.73,75,1,28.77,44.0805
523,leningradskiy,-10.34,89,100,4.23,69.3833
524,hualmay,76.05,62,7,9.42,-11.0964
525,ust-maya,-22.18,86,95,3.11,60.4167
526,dwarka,74.34,67,0,10.76,22.2394
527,longford,51.28,90,100,12.46,53.7333
528,itoman,64.81,83,75,8.05,26.1247
529,vestmannaeyjar,41.0,87,90,23.02,63.4427
530,barela,71.6,40,0,5.75,23.1
531,show low,43.38,39,1,11.5,34.2542
532,quatis,84.81,60,1,2.8,-22.4072
533,lumeje,74.98,72,100,2.39,-11.55
534,beringovskiy,-21.41,85,99,15.1,63.05
535,raul soares,82.47,69,32,2.91,-20.1022
536,benito juarez,55.4,54,20,2.91,19.385
537,cobija,87.8,66,75,3.44,-11.0267
538,okhotsk,2.59,88,90,8.66,59.3833
539,songea,65.21,97,100,1.74,-10.6833
540,orzhytsya,16.56,95,76,9.44,49.7918
541,troitskoye,3.78,92,99,7.16,52.9821
542,belaya gora,-34.56,95,6,1.45,68.5333
543,roebourne,91.49,49,86,2.1,-20.7833
544,kununurra,77.0,82,40,1.14,-15.7667
545,puerto escondido,82.4,83,75,4.61,15.85
546,rupert,35.6,51,1,23.02,42.6191
547,havlickuv brod,52.83,66,66,1.77,49.6078
548,parintins,84.54,65,100,2.24,-2.6283
549,krutinka,-5.67,95,100,22.3,56.0055
550,santa maria del oro,62.87,29,85,4.38,25.9333
551,pokrovsk,11.57,89,0,12.41,48.282
552,akureyri,30.2,93,75,9.22,65.6835
553,leshukonskoye,-8.7,90,28,3.13,64.8989
554,rio gallegos,55.4,41,0,14.97,-51.6226
555,sept-iles,27.39,80,75,6.91,50.2001
